gender,height_in,weight_lbs
m,72,165
m,67,160
m,68,160
f,64,114
f,66,135
m,69,148
f,68,120
f,63,138
f,65,135
f,69,150
m,68,190
m,72,200
m,72,175
f,64,130
m,68,165
